nisa,categorie,public,promovam,programe_afiliere,comision_est,bani,trafic,seo,sinergie,placere,scor,cost_pornire,timp_bani,business_propriu,site_separat,newsletter,tool,produs_digital,shopify,prioritate,status
Jucarii educative,Copii,parinti 28-45,jucarii STEM,Noriel/eMAG 2P,4-7%,3,3,3,4,3,32,0,sezon dec,N,N,N,N,N,N,MAI TARZIU,idee
Pescuit,Hobby,barbati 30-60,echipament pescuit,pescar-expert 2P pending,5-6%,2,3,4,4,3,31,0,in asteptare aprobare,N,N,N,N,N,N,MAI TARZIU,test
Camping & outdoor,Sport,20-45 aventura,corturi/rucsacuri,Decathlon 2P,3-6%,2,3,3,4,3,30,0,sezon vara,N,N,N,N,N,N,MAI TARZIU,idee
Biciclete & e-bike,Sport,20-50 urban,biciclete/trotinete,2P sport,3-6%,3,3,3,4,3,32,0,sezon primavara,N,N,N,D,N,N,MAI TARZIU,idee
Ochelari & optica,Sanatate,25-60,rame/lentile,Optiblu/Videt 2P,5-10%,3,3,3,4,2,31,0,1-2 luni,N,N,N,N,N,N,MAI TARZIU,test
Albire dinti & oral,Sanatate,20-40,kituri albire,2P pharma,5-10%,2,3,3,4,2,29,0,1-2 luni,N,N,N,N,N,N,DOAR IDEE,test
Nutritie & retete,Sanatate,25-50,carti/aparate bucatarie,mixt 2P,4-8%,2,4,2,3,3,28,0,3+ luni,N,D,D,N,D,N,DOAR IDEE,idee
Teme WordPress & site tools,Software B2B,devs/freelanceri,teme/pluginuri,Envato/direct,15-30%,3,2,3,4,3,30,0,2-3 luni,N,N,N,N,D,N,MAI TARZIU,idee
Email marketing tools,Software B2B,marketeri,Brevo-like SaaS,programe SaaS 20-30%,20-30% rec,4,2,3,3,3,32,0,2-3 luni,N,N,N,N,N,N,MAI TARZIU,idee
Stock media & design,Software B2B,creatori,Envato/stock,15-30%,15-30%,3,2,3,4,3,30,0,2-3 luni,N,N,N,N,N,N,DOAR IDEE,idee
Invatare engleza,Educatie,adulti RO,aplicatii/cursuri,programe edtech,15-30%,3,4,2,3,4,32,0,2-3 luni,D,D,D,D,D,N,MAI TARZIU,idee
Zboruri ieftine,Turism,20-40 budget,alerte zboruri,Kiwi/esky PS,1-3%,2,5,2,3,4,30,0,3+ luni,D,D,D,D,N,N,MAI TARZIU,idee
Food delivery & meal kits,Turism,urban 20-40,vouchere delivery,programe direct,CPA mic,2,4,2,3,3,27,0,3+ luni,N,N,N,N,N,N,DOAR IDEE,idee
Inchirieri (masini/scule),Servicii locale,urban,agregare oferte,lead-gen local,variabil,3,3,2,2,3,27,10€,3-6 luni,D,D,N,D,N,N,DOAR IDEE,idee
Renovari & meseriasi,Renovari,proprietari,lead-gen meseriasi,lead-gen 20-100€,20-100€/lead,4,3,2,2,3,31,10€,3-6 luni,D,D,N,D,N,N,MAI TARZIU,idee
Asigurari (auto/casa),Finante,soferi/proprietari,comparare RCA,brokeri/lead-gen,CPA 5-30€,4,4,1,3,2,31,0,3-6 luni,D,D,N,D,N,N,MAI TARZIU,idee
Newsletter Radar Reduceri,Newslettere,vanatori oferte RO,ofertele noastre,sponsorizari+afiliere,mixt,3,3,4,5,5,39,0,la 1000 abonati,D,N,-,N,D,N,ACUM,test
Calculatoare & tool-uri web,Micro-SaaS,cautatori Google,tool-uri gratuite,AdSense+afiliere context,AdSense,3,4,4,5,4,40,0,1-2 luni,D,N,N,-,D,N,ACUM,test
Extensie cupoane browser,Micro-SaaS,cumparatori online,codurile noastre,afiliere proprie,indirect,3,3,3,5,4,36,0,dupa publicare CWS,D,N,N,-,N,N,ACUM,test
Produse digitale video AI,Produse digitale,creatori incepatori,cursul/ghidul Alex,vanzare directa Gumroad,100% marja,4,2,3,5,5,38,0,imediat dupa conectare,D,N,D,N,-,N,ACUM,idee
Merch & POD,Shopify,fani nise validate,print-on-demand,marja produs,20-40% marja,3,2,2,3,3,27,50€+,3-6 luni,D,N,N,N,N,-,DOAR IDEE,idee
Micro-SaaS alerte pret,Micro-SaaS,cumparatori smart,alerta-pret ca serviciu,freemium,abonament,4,3,3,5,4,39,10€,3-6 luni,D,D,D,-,N,N,MAI TARZIU,idee
