Affiliate program,Promotion name,Start Date,End Date,Description (for affiliate),Description (for customer),Coupon code,Landing Page,Benefits & Tools
carturesti.ro ,2+1 Editura Nemira,2026-08-17 21:00:00 UTC,2026-09-06 21:00:00 UTC,"Se spune că verile bune se recunosc după numărul de cărți terminate. Mai sunt câteva săptămâni până se închide sezonul lecturii pe plajă și pe terasă — timp suficient pentru încă o carte, sau trei. Editura Nemira, care anul acesta împlinește 35 de ani de povești memorabile, îți ține companie la cafeaua de dimineață, cu tot ce are mai bun în stoc.

Între 18 august și 7 septembrie, întreaga ofertă în stoc a editurii Nemira e la 2+1: alegi trei, plătești două. #CarteaPeVal

Produsul pe care nu îl plătești este cel cu prețul cel mai mic. Promoție valabilă pe carturesti.ro în limita stocului disponibil. Cu excepția Pachetului Matt Haig 2000001193303 și a titlurilor cu 50% reducere pe carturesti.ro. Oferta nu se cumulează cu alte promoții și reduceri valabile online.","Se spune că verile bune se recunosc după numărul de cărți terminate. Mai sunt câteva săptămâni până se închide sezonul lecturii pe plajă și pe terasă — timp suficient pentru încă o carte, sau trei. Editura Nemira, care anul acesta împlinește 35 de ani de povești memorabile, îți ține companie la cafeaua de dimineață, cu tot ce are mai bun în stoc.

Între 18 august și 7 septembrie, întreaga ofertă în stoc a editurii Nemira e la 2+1: alegi trei, plătești două. #CarteaPeVal

Produsul pe care nu îl plătești este cel cu prețul cel mai mic. Promoție valabilă pe carturesti.ro în limita stocului disponibil. Cu excepția Pachetului Matt Haig 2000001193303 și a titlurilor cu 50% reducere pe carturesti.ro. Oferta nu se cumulează cu alte promoții și reduceri valabile online.",,https://carturesti.ro/offer/cartea-pe-val-nemira-6651,Special Banners
drmax.ro/,Max Days – Machiaj 18-24.08,2026-08-17 21:00:00 UTC,2026-08-23 21:00:00 UTC,"📌 Perioada campaniei: 18–24 august
🔗 Landing page dedicat: www.drmax.ro/max-days-machiaj
📸 Materiale vizuale: disponibile în platformă
","🌟 Ce aduce această ediție:
• Reduceri de până la 25% la produse de machiaj selectate
• Branduri cunoscute și apreciate de clienți
• Produse pentru un look complet, de la machiajul de zi cu zi până la look-uri speciale

",,www.drmax.ro/max-days-machiaj,
yves-rocher.ro, -50 % LA CELE MAI SCUMPE 5 PRODUSE!,2026-08-16 22:00:00 UTC,2026-08-23 21:45:00 UTC,"Reducerea de 50% se aplică pentru cele mai scumpe maximum 5 produse din coș. Reducerea se calculează din prețurile standard (preț înainte de reducere). Oferta nu se aplică seturilor, calendarului advent sau produselor din Outlet. Oferta nu poate fi combinată cu alte reduceri, coduri promoționale. De asemenea, oferta nu se cumulează cu alte oferte, exemplu: 1+1 OFERIT! Oferta este valabilă în perioada 17 - 23.08.2026, pe e-shop-ul www.yves-rocher.ro, în aplicația mobilă și în magazinele fizice, în limita stocurilor disponibile. ", -50 % LA CELE MAI SCUMPE 5 PRODUSE! Folosește codul promo: 5OFF50. Profită!,5OFF50,https://www.yves-rocher.ro/,Special Banners
wolfy.ro,10% reducere la produsele selectate Wolfy,2026-08-16 21:00:00 UTC,2026-08-23 21:00:00 UTC,"Descoperă și promovează oferta Wolfy dedicată clienților care caută echipamente și accesorii la un preț avantajos. În perioada promoției, aceștia beneficiază de 10% reducere la produsele selectate, folosind codul WOLFy-10.

Poți prezenta oferta în stilul propriu și o poți integra natural în conținutul tău, punând accent pe reducerea disponibilă și pe produsele care consideri că sunt cele mai interesante pentru publicul tău. Pagina dedicată promoției îi ajută pe clienți să descopere rapid categoriile și produsele pentru care poate fi utilizat codul.

WOLFY-10 se introduce în coșul de cumpărături, iar reducerea se aplică produselor eligibile. Costul transportului nu este inclus în reducer","Folosește codul WOLFy-10 și beneficiezi de 10% reducere la produsele selectate din magazinul Wolfy.

Oferta include o gamă variată de echipamente și accesorii Wolfy din categoriile centuri, curele sling, pouch-uri și buzunare tactice, tocuri, veste, echipamente K9, genți și patch-uri.

Alege produsele preferate din categoriile participante, adaugă-le în coș și introdu codul WOLFy-10  pentru a beneficia de reducere. Reducerea se aplică produselor eligibile din coș și nu se aplică costului de transport.",WOLFy-10,https://wolfy.ro,
paa-home.ro,Reduceri de pana la 40% la detergenti pentru aspiratoare robot,2026-08-16 21:00:00 UTC,2026-09-30 20:45:00 UTC,Reduceri de pana la 40% la detergenti pentru aspiratoare robot,"Descopera detergentii PAA-Home pentru aspiratoare robot, acum la preturi reduse cu pana la 40%. Sunt disponibile solutii compatibile cu modele populare de la Roborock, Dreame, Ecovacs, Tineco si Narwal, precum si detergenti concentrati pentru curatarea pardoselilor. Alege produsul potrivit si bucura-te de o curatenie eficienta si un parfum placut in intreaga locuinta.
",,https://paa-home.ro/product-category/detergenti-aspiratoare/,
sportdepot.ro,Sport Depor Final Sale: Munte si Mare – reduceri de pana la 60%,2026-08-16 21:00:00 UTC,2026-09-02 20:45:00 UTC,Sport Depor Final Sale: Munte si Mare – reduceri de pana la 60%,"Pregateste-te pentru urmatoarea aventura cu reduceri de pana la 60% la peste 4.000 de produse pentru munte si mare. Descopera imbracaminte, incaltaminte, echipamente sportive si accesorii de la branduri precum Columbia, Helly Hansen, Jack Wolfskin, The North Face, Quiksilver, Roxy, Speedo si multe altele. Oferta este valabila pana pe 02.09.2026, in limita stocului disponibil.
",,https://www.sportdepot.ro/final_sale_munte_si_mare/promotion-94153dca2ef04b1b8e48422594b2aaea,
librarie.net,Back To School 2026 Rechizite,2026-08-14 21:00:00 UTC,2026-10-30 22:00:00 UTC,-,"Buna ziua,

incepand de astazi si pana la 31 octombrie, am activat promotia Back To School pentru rechizite care contine peste 2500 de produse.

Link promotie:

https://www.librarie.net/c/4661/

Spor la conversii,
echipa LIBRARIE.net


 ",,https://www.librarie.net/c/4661/,Special Banners
herbagetica.ro,Starea de bine cu Herbagetica vine! 3 vacanțe în Maldive + premii zilnice,2026-08-14 14:00:00 UTC,2026-12-31 21:45:00 UTC,"Starea de bine cu Herbagetica vine! 💚

Promovează campania Herbagetica și invită-ți comunitatea să participe la tombolă.

Mesajul principal: Cumpără un produs Herbagetica, înscrie bonul fiscal sau factura pe pagina campaniei, herbagetica.ro/concurs, și poți câștiga unul dintre cele 120 de vouchere Herbagetica, în valoare de 210 lei, sau una dintre cele 3 vacanțe în Maldive. 🌴

🖼️ Bannere campanie: disponibile în platformă

Recomandăm folosirea mesajului „Starea de bine cu Herbagetica vine!” în comunicarea campaniei și includerea linkului către formularul de înscriere: herbagetica.ro/concurs","Ai cumpărat un produs Herbagetica? 

Înscrie-te în campanie pe pagina herbagetica.ro/concurs și poți câștiga unul din cele 120 de vouchere Herbagetica în valoare de 210 lei (valabile pe site-ul herbagetica.ro) sau una din cele 3 vacanțe în Maldive! 🌴☀️

🎁 Cum participi la campanie?

1️⃣ Cumpără un produs Herbagetica:
de pe herbagetica.ro, magazine online, plafare și farmacii.

2️⃣ Înscrie-te în campanie:
Accesează pagina campaniei și completează formularul cu:
• numărul bonului fiscal sau numărul facturii;
• o fotografie clară a bonului fiscal/factura;
• denumirea magazinului online, plafarului sau farmaciei de unde ai făcut achiziția;
• data achiziției, exact așa cum apare pe bon/factură.

3️⃣ Opțional: Crește-ți șansele de câștig! 🚀
+100 de șanse de câștig dacă postezi un video în care povestești despre experiența ta cu unul sau mai multe produse Herbagetica și lași linkul către video în formularul de înscriere.
+50 de șanse de câștig dacă distribui postarea campaniei pe profilul tău și lași linkul către postare în formularul de înscriere.

❗Pentru acordarea șanselor suplimentare, profilul tău trebuie să fie public, iar linkurile către materialele postate trebuie completate în formularul de înscriere.

Pentru mai multe detalii, citește regulamentul campaniei pe herbagetica.ro",,https://herbagetica.ro/concurs,Special Banners
priveboutique.net ,PB20 - Sezon banchet & majorat: -20% la toate rochiile PRIVE,2026-08-13 21:00:00 UTC,2026-09-29 21:00:00 UTC,"Comision 15% la orice vanzare, cookie 30 zile, plata in ~16 zile. Feed de produse actualizat ZILNIC (~400 produse, AOV ~430 RON) - daca ai nevoie de feed dedicat cu specificatii custom, il generam pentru tine, scrie-ne. Recomandam deeplink pe categorie, nu pe homepage: /rochii-banchet/, /rochii-de-majorat/, /rochii-de-club/, /rochii-nunta-botez/. Bestseller absolut: Russian Style Black White (8.400+ vandute). Traficul generic e binevenit, inclusiv Google Shopping/CSS, Facebook Ads, retargeting. SINGURA REGULA: fara licitare pe termenii de brand ""prive"" / ""prive boutique"" si variatii. Raspundem in aceeasi zi la orice mesaj.","-20% la toate rochiile PRIVE Boutique cu codul PB20, valabil pe tot sezonul de banchete, majorate si nunti (august - septembrie). Rochii de ocazie fabricate in Romania, livrare 24-48h, schimb si retur simplu in 14 zile. Codul se aplica in cos si functioneaza pentru orice comanda de pe site.",PB20,https://priveboutique.net/rochii-de-ocazie/,Special Product Feed
studioszel.ro,10% REDUCERE LA TOATE PRODUSELE,2026-08-13 21:00:00 UTC,2026-08-30 21:00:00 UTC,"Promovați oferta de 10% reducere la toate produsele de mobilier, valabilă pe toată durata lunii. Menționați în materialele de promovare că reducerea se aplică automat, fără cod promoțional. Folosiți poze și descrieri atractive ale produselor și evidențiați oferta de 10% reducere.","Beneficiază de o reducere de 10% la toate produsele noastre de mobilier, pe toată durata lunii! Descoperă colecția noastră și profită de această ofertă specială. Reducerea se aplică automat tuturor produselor, fără cod promoțional.",,https://studioszel.ro/,Special Banners
sofipex.ro,Promotii periodice,2026-08-13 21:00:00 UTC,2026-12-30 22:00:00 UTC,Promotiile sunt valabile in limita stocului disponibil si nu se cumuleaza cu alte oferte!,"Preturi reduse, aceeasi calitate, profita de reducerile periodice la anumite produse! promotiile sunt in limita stocului disponibil si nu se cumuleaza cu alte oferte",,https://sofipex.ro/collections/promo%C8%9Bii,Special Banners
kitchentools.ro,Promotiile lunii 2026,2026-08-13 21:00:00 UTC,2026-08-30 21:00:00 UTC,Aveti liber la vanzari pentru produsele din aceasta categorie. Preturi cu discount-uri de minim 25% pana la 55%. ,"Aproape tot catalogul nostru este intr-o promotie, in acest moment, de pana la 55% discount la peste 700 de produse.",,https://www.kitchentools.ro/collections/reduceri,Special Banners
dreamramp.ro,Reducere 15% la Mop cu găleată electrică Dreamramp® Pro – Separă apa curată de cea murdară,2026-08-12 21:00:00 UTC,2026-09-12 21:00:00 UTC,"Dragi marketeri, venim către voi cu o oportunitate de convertire masivă pe o nișă în plină expansiune. Căutările pentru „mop electric” au explodat în România, iar Dreamramp® Pro vine cu un diferențiator unic pe piață și un comision masiv de 20% la fiecare vânzare.

De ce se va vinde fără efort?

Inovație exclusivă în România (zero competiție directă)
Este singurul mop din România dotat cu găleată electrică automatizată. Nu promovezi un produs generic care se găsește la orice colț de stradă, ci un gadget electrocasnic premium, greu de replicat, care atrage atenția imediat.

Rezolvă o problemă majoră de igienă
Clienții realizează instant că mopul clasic doar mută mizeria dintr-o parte în alta. Dreamramp® Pro folosește un sistem inteligent care separă 100% apa curată de cea murdară. Un singur buton aduce apă curată la fiecare ștergere — un argument imbatabil pentru familii și cei atenți la igienă.

Fără contact manual cu murdăria și părul de animale
Sistemul electric de periere cu rotație de mare viteză curăță și stoarce laveta automat. Nimeni nu mai trebuie să atingă mopul murdar sau părul de animale cu mâna.

Zero dureri de spate și curățenie de 5x mai rapidă
Apasă butonul și găleata își face treaba. Fără stors manual, fără aplecat, fără cabluri (autonomie 60 min, acoperă până la 80 m² cu un singur rezervor).

💰 De ce să aloci timp acestei campanii?
20% comision per vânzare: Un comision generos care va face ca munca ta să fie răsplătită.

Conținut video perfect pentru TikTok & Reels: Produsul este extrem de vizual. Un clip simplu care arată separarea apei murdare sau curățarea automată a părului de animale generează hook-uri virale și un CTR foarte mare.

4 unghiuri masive de targeting:
Pet Lovers: Fără păr pe mâini, lavetă curățată automat.
Mămici & Familii: Podele spălate 100% cu apă curată pentru copii.
Seniori / Persoane cu dureri de spate: Zero efort fizic, stoarcere automată.
Tech & Smart Home: Automatizarea curățeniei fără cabluri.

Rată mică de retur(1%). ","Mop cu găleată electrică Dreamramp® Pro – Separă apa curată de cea murdară

Cum funcționează?
Mopul electric Dreamramp® Pro ridică standardele curățeniei printr-un sistem automatizat de separare a apei. Printr-o simplă apăsare de buton, tehnologia inteligentă gestionează fluxul de apă, asigurându-se că podelele tale sunt spălate de fiecare dată cu apă 100% curată. Dacă vrei să treci de la un mop plat clasic la o tehnologie superioară, acesta este upgrade-ul perfect.

Spre deosebire de mopurile rotative manuale, totul este automatizat. Găleata cu mop compartimentată izolează apa murdară, iar sistemul electric se ocupă de igienizarea lavetei fără ca tu să depui vreun efort fizic.

Elimină părul animalelor de companie
Sistemul electric de periere și rotația de mare viteză îndepărtează eficient părul de animale, scamele și murdăria. Nu mai atingi laveta și nu mai speli manual nimic.

Stoarcere rapidă, fără efort
Mecanismul bidirecțional asigură o stoarcere mult mai precisă decât sistemele manuale. Cu o singură atingere ajungi la nivelul ideal de umiditate, fără să îți uzi mâinile și fără să soliciți spatele.

Speli până la 80 m² fără să schimbi apa
Datorită sistemului de filtrare și a motorului electric optimizat, poți curăța peste 80 m² fără să schimbi apa. Procesul este de până la 5 ori mai rapid decât cu un mop plat obișnuit.

Autonomie 60 min – libertate totală
Echipat cu un acumulator performant, Dreamramp® Pro îți oferă până la 60 de minute de funcționare continuă, suficient pentru a curăța întreaga locuință fără grija cablurilor.

Cap flexibil și potrivit pentru orice suprafață
Designul capului ajunge ușor sub canapele, sub pat, sub mobilier jos și în zone greu accesibile. Poate fi folosit pe gresie, parchet, marmură, faianță, geamuri și suprafețe laminate.

Confort în utilizare
Tija din oțel inoxidabil și asistența electrică reduc oboseala în timpul utilizării. Ideal pentru uz zilnic, acasă, la birou sau în spații comerciale.","",https://dreamramp.ro/products/mop-electric-rotativ-cu-galeata-dreamramp-separare-apa-curata-doua-rezerve,Bonuses & Special Banners
femieko.ro,Promotie 1+1 Cadou,2026-08-11 21:00:00 UTC,2026-09-09 21:00:00 UTC,"Promovati campania 1+1 CADOU Femi.Eko®, valabila in perioada 10 august - 10 septembrie 2026.

Oferta se aplica exclusiv produselor eligibile din campanie: chiloti menstruali Seamless si cupe menstruale. Clienta cumpara un produs eligibil si primeste inca unul identic cadou. Nu este necesar niciun cod de reducere.

Va rugam:

directionati traficul catre pagina oficiala a campaniei;
mentionati clar mecanica 1+1 CADOU;
nu prezentati oferta ca fiind valabila pentru toate produsele Femi.Eko®;
folositi imagini si informatii de produs corecte, fara modificarea ambalajelor sau a caracteristicilor produselor;
evitati afirmatiile medicale sau beneficiile care nu sunt mentionate oficial de Femi.Eko®;
comunicarea trebuie sa ramana clara, pozitiva si orientata spre confort, protectie si libertate de miscare.

Landing page:
https://femieko.ro/pages/unul-pentru-tine-unul-cadou","In perioada 10 august - 10 septembrie, la Femi.Eko® ai 1+1 CADOU la produsele eligibile din campanie. Cumperi o pereche de chiloti menstruali Seamless sau o cupa menstruala si primesti inca una identica, cadou. Este ocazia ideala sa alegi produse reutilizabile create pentru mai mult confort, protectie si libertate de miscare. Descopera oferta pe pagina dedicata campaniei si profita acum de promotie.","",https://femieko.ro/pages/unul-pentru-tine-unul-cadou,
vegis.ro ,Campanii Back to School - Vegis.ro,2026-08-11 07:00:00 UTC,2026-08-31 20:45:00 UTC,"- Reduceri la peste 2.000 de produse pentru intreaga familie, din urmatoarele categorii: suplimente & remedii, alimente & produse bio, cosmetice & produse pentru casa.

- 1+1 Cadou la o selectie de deodorante Biobaza: https://vegis.ro/campanie-1-plus1-cadou-biobaza/

- Transport Gratuit la comandarea produsului In Green sau a pachetului dedicat: https://vegis.ro/rawboost/filtre/cauta-in+green/

- La cumpararea a oricaror 3 produse Nairn's, clientul beneficiaza de -75% la cel mai ieftin dintre ele: https://vegis.ro/nairns/?sort=top_sales%7Cdescending

- La cumpararea a 2 produse identice Cosmo Pharm din selectia speciala, clientul beneficiaza de -20% la unul din ele: https://vegis.ro/promo-special-cosmo-pharm/",-,,https://vegis.ro/,Special Banners
