Affiliate program,Promotion name,Start Date,End Date,Description (for affiliate),Description (for customer),Coupon code,Landing Page,Benefits & Tools
librarie.net,Cadouri de Ziua Copilului (21 - 29 mai 2026),2026-05-21 21:00:00 UTC,2026-05-28 21:00:00 UTC,-,"Buna ziua,

In perioada 21 mai - 29 mai organizam promotia dedicata Zilei Copilului.

Aceasta contine peste  3500 de produse de la branduri editoriale de top precum Arthur, Litera sau Univers  dar si branduri de jucarii precum LEGO, Safari, D-Toys sau figurinele FUNKO

Link promotie:

https://www.librarie.net/c/4641/cadouri-ziua-copilului

Cu multumiri,

echipa LIBRARIE.net

",,https://www.librarie.net/c/4641/cadouri-ziua-copilului,
sportdepot.ro,MID SEASON SALE + EXTRA 10% la mii de modele deja reduse,2026-05-21 21:00:00 UTC,2026-05-25 20:45:00 UTC,MID SEASON SALE + EXTRA 10% la mii de modele deja reduse,"MID SEASON SALE + EXTRA 10% la mii de modele deja reduse
In selectie gasesti: Imbracaminte, Incaltaminte, Echipament sport, Accesorii si Fitness.
Promo cod: EXTRA10
*Codul promotional este valabil in perioada 22.05 - 25.05.2026 si ofera reducere suplimentara de -10% la toate produsele reduse si nu poate fi combinat cu alte coduri promotionale de reducere.",EXTRA10,https://www.sportdepot.ro/mid_season_sale_extra_10_la_mii_de_articole/recommended-1271,
farmec.ro,Bright Friday Happy Days - 30% Reducere In Cos,2026-05-21 21:00:00 UTC,2026-05-25 20:45:00 UTC,"Condiții promoție
30% REDUCERE ÎN COȘ pentru comenzile de minim 3 produse achiziționate în perioada 22 - 25 Mai 2026, în limita stocului disponibil + Transport GRATUIT în Easybox de la 140 lei.

Sunt excluse din această ofertă produsele Noi, produsele care fac obiectul altor Promoții, Cutiile și Seturile Cadou. Reducerea nu se cumulează cu alte discounturi active.

Ofertă valabilă Exclusiv Online.","Condiții promoție
30% REDUCERE ÎN COȘ pentru comenzile de minim 3 produse achiziționate în perioada 22 - 25 Mai 2026, în limita stocului disponibil + Transport GRATUIT în Easybox de la 140 lei.

Sunt excluse din această ofertă produsele Noi, produsele care fac obiectul altor Promoții, Cutiile și Seturile Cadou. Reducerea nu se cumulează cu alte discounturi active.

Ofertă valabilă Exclusiv Online.",,https://www.farmec.ro/promo/weekend-30-reducere,Special Banners
infinity.ro ,Heat-urile Verii,2026-05-21 04:00:00 UTC,2026-06-21 21:00:00 UTC," 1. Specific Ad Formats: folosiți bannerele din secțiunea Bannere
 2. Performance Goals: Generarea de vânzări prin trafic relevant către landing page-ul cu produse de casă și grădină, cu focus pe conversii și calitatea traficului.
3. Dacă postați pe Social Media folosind vizualurile noastre, vă rugăm să adăugați: #casasigradina #heat-urileverii #specialpentruexterior ","Tot ce ai nevoie pentru întreținerea casei și grădinii, într-un singur loc. Produse alese pentru utilitate reală, gândite să îți simplifice munca și să îți optimizeze spațiul exterior. Fără complicații – doar soluții practice pentru fiecare zi",,https://www.infinity.ro/heat-urile-verii,Special Banners
medimfarm.ro/,Cod reducere MedimFarm.ro -15% la orice comanda de minim 190 lei,2026-05-20 21:00:00 UTC,2026-05-31 20:45:00 UTC,Cod reducere MedimFarm.ro -15% la orice comanda de minim 190 lei,"Pana pe 31 Mai 2026 profita de un cod reducere MedimFarm.ro ce iti ofera o reducere de 15% la orice comanda de minim 190 lei + 10% Money Back din valoarea comenzii inapoi, pentru cumparaturi viitoare!",MEDIM15,https://medimfarm.ro/,
noriel.ro ,Castiga premii de poveste cu Disney,2026-05-20 12:30:00 UTC,2026-06-01 20:45:00 UTC,-,"❄️✨ Intra in lumea magica Disney! Cumpara 2 papusi Disney Princess sau Disney Frozen, inscrie bonul pe noriel.ro si poti castiga: 🏰 o excursie de poveste la castelele din Franta sau 🎁 unul dintre cele 3 seturi de joaca Disney Frozen. Transforma fiecare moment de joaca intr-o aventura magica! 💙 >> https://noriel.ro/blog/concurs-disney-frozen-si-princess ",,https://noriel.ro/blog/concurs-disney-frozen-si-princess,Special Banners
carturesti.ro ,Anul școlar s-a terminat. Povestea abia începe,2026-05-19 21:00:00 UTC,2026-06-17 21:00:00 UTC,"Există un moment în iunie când ghiozdanul e aruncat pe hol și vara intră pe ușă cu tot zgomotul ei. E momentul perfect pentru un cadou care să nu se termine odată cu ziua: o carte bună, aleasă cu grijă, care să călătorească cu ei toată vacanța. Premii școlare, daruri de final de an sau pur și simplu un „bravo"" spus altfel — cărțile pentru copii din selecția noastră sunt aici pentru toate ocaziile.

Pe carturesti.ro găsești titluri pentru micii cititori, în română și în limbi străine, cu reduceri de până la 20% în perioada 20 mai – 18 iunie. Pentru că vacanța de vară e mai bună cu noutăți în bibliotecă.

Promoția este valabilă pe carturesti.ro, în limita stocului disponibil. Nu se cumulează cu alte promoții și reduceri.","Există un moment în iunie când ghiozdanul e aruncat pe hol și vara intră pe ușă cu tot zgomotul ei. E momentul perfect pentru un cadou care să nu se termine odată cu ziua: o carte bună, aleasă cu grijă, care să călătorească cu ei toată vacanța. Premii școlare, daruri de final de an sau pur și simplu un „bravo"" spus altfel — cărțile pentru copii din selecția noastră sunt aici pentru toate ocaziile.

Pe carturesti.ro găsești titluri pentru micii cititori, în română și în limbi străine, cu reduceri de până la 20% în perioada 20 mai – 18 iunie. Pentru că vacanța de vară e mai bună cu noutăți în bibliotecă.

Promoția este valabilă pe carturesti.ro, în limita stocului disponibil. Nu se cumulează cu alte promoții și reduceri.",,https://carturesti.ro/offer/anul-scolar-s-a-terminat-6590,Special Banners
vegis.ro ,REDUCERI fresh la o varietate de produse,2026-05-19 07:00:00 UTC,2026-05-25 07:00:00 UTC,"Preturi mai mici la sute de produse de la branduri indragite, din urmatoarele categorii: suplimente si remedii, alimente si produse bio, cosmetice si produse pentru casa. 

Promotiile sunt valabile in limita stocurilor. ",-,"",https://vegis.ro/,Special Banners
libris.ro ,Cadou la alegere? REDUCERI aniversare? Vezi ce SURPRIZE ți-am pregătit de 35 de ani Libris,2026-05-18 21:00:00 UTC,2026-05-24 21:00:00 UTC,Cadou la alegere? REDUCERI aniversare? Vezi ce SURPRIZE ți-am pregătit de 35 de ani Libris,"Dragi afiliati, 

Zilele acestea sărbătorim 35 de ani de Libris printr-un Book Party de 6 zile! Te așteptăm la Libris Days, petrecerea de carte care se va desfășura la noi acasă, pe libris.ro, între 19 (ora 08:00) și 24 mai. 
Am pregătit REDUCERI de până la 76% și CADOURI la alegere la comenzile de peste 120 lei. Și ce cadouri! ;)
În plus, oferim TRANSPORT GRATUIT la toate comenzile de peste 75 lei, prin curier rapid, oriunde în România.

Mulțumim că sunteți alături de noi. 

Am încarcat bannere. Spor la conversii!",,https://www.libris.ro/,Special Banners
carturesti.ro ,Răsfoiește albume în engleză,2026-05-18 21:00:00 UTC,2026-06-07 21:00:00 UTC,"Există cărți pe care nu le citești, ci le trăiești — pagină cu pagină, imagine cu imagine. Albumele în limba engleză din selecția noastră transformă orice raft într-o mică galerie și orice după-amiază liberă într-o călătorie.

Arhitectură care spune povești, gastronomie cu personalitate, design care inspiră, artă care rămâne. Le-am adunat pe toate într-o selecție care merită răsfoită, cu 30% reducere, în perioada 19 mai – 8 iunie.

Promoția este valabilă pe carturesti.ro, în limita stocului disponibil. Nu se cumulează cu alte promoții și reduceri.","Există cărți pe care nu le citești, ci le trăiești — pagină cu pagină, imagine cu imagine. Albumele în limba engleză din selecția noastră transformă orice raft într-o mică galerie și orice după-amiază liberă într-o călătorie.

Arhitectură care spune povești, gastronomie cu personalitate, design care inspiră, artă care rămâne. Le-am adunat pe toate într-o selecție care merită răsfoită, cu 30% reducere, în perioada 19 mai – 8 iunie.

Promoția este valabilă pe carturesti.ro, în limita stocului disponibil. Nu se cumulează cu alte promoții și reduceri.",,https://carturesti.ro/offer/rasfoieste-albume-in-engleza-6589,Special Banners
drmax.ro/,Campanie Produse Solare 19-31.05,2026-05-18 21:00:00 UTC,2026-05-30 21:00:00 UTC,"✅ Materialele vizuale sunt disponibile în platformă
👉 Landing page: www.drmax.ro/frumusete-si-ingrijire/protectie-solara
","☀️ VARĂ? Ne ocupăm noi! – Campanie dedicată produselor de protecție solară

Incepând cu 19 Mai, clienții pot descoperi oferte speciale la produse de protecție solară și îngrijire pentru sezonul de vară.

🌴 Temperaturile cresc, iar interesul pentru SPF și skincare de vară este deja în plină ascensiune — momentul perfect pentru promovare.

🌞 Branduri vedetă în campanie:
•	Avène 
•	La Roche-Posay 
•	Bioderma 
•	Vichy 
•	Pharmaceris 
•	Skinexpert by Dr. Max 
•	Eucerin 
",,www.drmax.ro/frumusete-si-ingrijire/protectie-solara,
janta.ro ,Cu JANTA.RO si Autonom Protect Nu ramai in pana,2026-05-18 21:00:00 UTC,2026-06-29 21:00:00 UTC,Bannerele campaniei le gasiti pe link-ul urmator: https://drive.google.com/drive/folders/1YMJ8FVrmfe43gW9mPo94XVlN8b72C2ST?usp=sharing,"Salut,

Avem o campanie nou. La fiecare comanda de 4 anvelope sau 4 roti complete clientii primesc GRATIS Autonom Protect pe tot teritoriul României.

Beneficii:

In caz de pana:

-tractare pana cel mai apropiat service pe o distanta de 50 km pe sens.

In caz de accident

-tractare fara limita de kilometri pana la cea mai apropiata unitate de service din reteaua Autonom Protect.
-consultanta dosar dauna
-masina la schimb in baza normei RCA

Durata campaniei: 19.05.2026-30.06.2026

Asigurarea este valabila 365 de zile.

Bannerele campaniei le gasiti pe link-ul urmator: https://drive.google.com/drive/folders/1YMJ8FVrmfe43gW9mPo94XVlN8b72C2ST?usp=sharing

Regulamentul campaniei il gasiti aici: https://www.blog.janta.ro/post/cu-janta-ro-si-autonom-protect-nu-ramai-in-pana",,https://www.janta.ro/wheelsportal/84677/start,Special Banners
imker.ro,"Campanie -33% pachetul IMKER Explorer cu difuzor smart de parfum, geanta si 10 arome",2026-05-18 21:00:00 UTC,2026-05-28 21:00:00 UTC,"*Focus pe performantele parfumarii premium IMKER cu aparatul smart IMKER AromaLUX XS02.AC Plus, geanta de depozitare si 10 rezerve de parfum premium best-seller
*solutia de parfumare persistenta care chiar functioneaza, posibilitatea de reglare a intensitatii, senzor de miscare, acumulator de mare putere
*pentru pasionatii de parfumuri si auto
*-33% reducere la acest pachet
*parfumare premium rafinata, stiluri diferite de parfum (echilibrat, fresh, masculin, lemnos, fructat, gurmand, arabesc etc.)
#exploreazaIMKER #parfumautoIMKER #parfumpremiumIMKER #difuzorsmartIMKER #pachetpromoIMKER","Promo -33% la noul pachet IMKER Explorer.
IMKER Explorer XS02.AC Plus este un pachet complet cu difuzor de parfum, cea mai recentă versiune XS02.AC Plus, 10 arome de parfum perfect compatibile de 10 ml și geantă elegantă pentru depozitare.
Poate fi folosit în mașină sau acasă ori la birou (spații de aproximativ 10 mp)

Aparatul oferă performanță premium smart, aspect elegant, fiabil și funcționalități care creează și mai mult confort și flexibilitate a parfumării (acumulator puternic de 2000 mAh, senzor de mișcare, moduri Home/Car, două culori, lumini ambientale etc.)

Diversitate de arome - 5 arome Bestseller din colectia AromaNatural + 5 arome Bestseller din colectia GoodLife vor oferi un spațiu divers de explorare pentru 12-18 luni pe care le poți ține ordonate în geanta elegantă specială IMKER.","",https://www.imker.ro/odorizante-auto-profesionale/pachet-odorizant-auto-casa-xs02-plus-10-parfumuri-geanta.html,Bonuses & Challenges
benvenuti.com/ro,Legendary Sale,2026-05-18 21:00:00 UTC,2026-06-29 21:00:00 UTC,Promovarea trebuie facuta intr-o maniera clara si concisa.,Pana la 30% reducere la produsele selectate.,"",https://www.benvenuti.com/ro/reduceri,
noriel.ro ,20% Reducere la jucarii si jocuri | Cod: KIDS20 |18-24.05.2026,2026-05-17 22:00:00 UTC,2026-05-24 20:45:00 UTC,-,"Lumea cu imaginatie aduce vesti minunate! Aplica in cosul de cumparaturi codul KIDS20 si ai 20% Reducere la jucarii si jocuri. ❤️🧸Promotia este valabila exclusiv online, in perioada 18-24 Mai, in limita stocului disponibil. Reducerea nu se aplica produselor care sunt in stoc furnizor, Pokémon TCG  si nu se cumuleaza cu alte promotii.",KIDS20 ,https://noriel.ro/,Special Banners
noriel.ro ,Super Oferte - Reduceri de pana la 50% | 18–24.05.2026,2026-05-17 22:00:00 UTC,2026-05-24 20:45:00 UTC,-,"Super oferte te asteapta pe noriel.ro! 🎉
Am pregatit reduceri de pana la 50% la o multime de produse. 
✨ Descopera acum ofertele speciale pe noriel.ro >> https://noriel.ro/
Promotia este valabila in perioada 18–24.05.2026, in limita stocului disponibil.","",https://noriel.ro/promotii,Special Banners
elefant.ro,🎉 elefant Fest - până la 90% (18 - 24 mai) 🎉,2026-05-17 21:00:00 UTC,2026-05-24 20:45:00 UTC,"Ne bucurăm să vă anunțăm că în perioada 18-24 mai vom desfășura campania elefant Fest, cea mai mare campanie a lunii mai. În cadrul evenimentului vom avea:
✔ reduceri de până la 90%
✔ cărți cadou de la Litera, Nemira, Storia și Publica, în limita stocului disponibil

🚨 De aici puteți descărca bannerele 👉 https://www.swisstransfer.com/d/4d37b49e-b64f-4e2e-8510-7a7ece5d5837 
",Participă le elefant Fest în perioada 18 - 24 mai și te poți bucura de reduceri de până la 90% la cărțile preferate!,,https://elefant.ro,Special Banners
automobilus.ro,Livrare rapida si in easy box!,2026-05-17 21:00:00 UTC,2026-06-30 21:00:00 UTC,"-brand puternic
-valoarea cosului mare
-plata rapida a comisioanelor",Pe automobilus.ro iti poti gasi orice piesa ai nevoie doar introducand seria de sasiu!,,https://automobilus.ro,
automobilus.ro,Mirka POLAROS RP 600 – Noul etalon al polishului profesional acum cu 20% reducere,2026-05-17 21:00:00 UTC,2026-06-30 21:00:00 UTC,"un produs premium la un pret foarte bun (are 20% reducere), valoare foarte mare a cosului
","Mirka POLAROS RP 600 o mașină de polish rotativă care redefinește performanța, un polizor rotativ de 150 mm, cu motor brushless de 750 W, Poate fi folosita atat in ateliere   auto cat si in industria marina.
Definita printr-un corp compact, cu profil redus, inspirat din premiata platformă Mirka DEROS, oferă o poziție naturală a mâinilor aproape de suprafață.
Cu o greutate de doar 1,75 kg, POLAROS RP 600 este una dintre cele mai ușoare mașini de polish din clasa sa – o diferență reală pentru profesioniștii care lucrează ore întregi fără întrerupere.",,https://automobilus.ro/mirka-polaros-rp-600-noul-etalon-al-polishului-profesional,Special Banners
kfea.ro,Kfea.ro împlinește 20 de ani,2026-05-17 21:00:00 UTC,2026-06-06 21:00:00 UTC,"Salutare!
Kfea.ro împlinește 20 de ani, iar în această perioadă desfășurăm o campanie specială: 20 de zile de reduceri aniversare.
În fiecare zi vom avea un produs diferit cu reducere specială, iar campania este deja live aici: https://kfea.ro/aniversare-20-ani
Pentru promovare, am încărcat în platformă și o serie de bannere dedicate campaniei, iar codul KFEA20 oferă 5 lei reducere la orice comandă de peste 99,99 lei.
Mulțumim că faceți parte din comunitatea Kfea.ro și spor la conversii! 🚀","🎉 Kfea.ro împlinește 20 de ani! 🎉
Ne bucurăm să sărbătorim împreună două decenii de pasiune pentru cafea! ☕❤

Ca să-ți mulțumim că ai fost alături de noi în această călătorie aromată, ți-am pregătit 20 de zile pline de surprize: oferte exclusive, reduceri speciale și cadouri dedicate iubitorilor de cafea.

În fiecare zi te așteaptă o nouă surpriză, disponibilă în stoc limitat, pe pagina aniversară Kfea.ro - https://www.kfea.ro/aniversare-20-ani

Îți mulțumim că faci parte din povestea noastră!💛

#kfea20ani #etolia #kfearo #cafeaproaspatprajita #specialtycoffee",KFEA20,https://www.kfea.ro/aniversare-20-ani,Special Banners
kidstory.ro,Campanie 1 Iunie,2026-05-16 21:00:00 UTC,2026-06-18 21:00:00 UTC,"1% in plus pentru 10 comenzi in perioada 18.05-19.06
2% in plus pentru 20 comenzi in perioada 18.05-19.06
3% in plus pentru 30 comenzi in perioada 18.05-19.06",Reduceri de pana la 50% pentru Ziua Copilului!,,https://www.kidstory.ro/promotii-jucarii,Bonuses & Special Banners
librarie.net,Book-Half. Minim 50% Reducere la peste 800 de titluri (15.05.2026 - 31.08.2026),2026-05-15 21:00:00 UTC,2026-08-30 21:00:00 UTC,-,"Book-Half a început pe Librarie.net! 
Avem peste 800 de titluri cu reduceri de minimum 50%.

Fie că vânezi un bestseller, vrei să pregătești lecturile de vacanță ale copiilor sau cauți acel titlu de dezvoltare personală care să te motiveze, acum le iei la preț de outlet.

✅ Peste 800 de titluri la -50% sau mai mult 
✅ Toate genurile literare incluse 
✅ Stocuri care se epuizează rapid

Link campanie:

https://www.librarie.net/c/4628/minim-50-reducere

Spor la conversii!

Echipa LIBRARIE.net",,https://www.librarie.net/c/4628/minim-50-reducere,
librarie.net,Bursa Cărților Ieftine: Ediția sub 15 lei (15 mai 2026 - 31 august 2026),2026-05-15 21:00:00 UTC,2026-08-30 21:00:00 UTC,"Campanie excelenta pentru campania de premiile de sfarsit de an scolar, contine majoritatea editurilor cu profil de lectura pentru vacanta.","A început Bursa Cărților Ieftine și prețurile au scăzut sub pragul de 15 lei! 

De la povești pentru copii și auxiliare școlare, până la romane captivante,  campania contine peste 2000 de titluri care costă mai puțin decât o cafea to-go.

✅ Mii de cărți sub 15 lei
✅ Ideal pentru cadouri și provizii de lectură pentru vacanță
✅ Stocuri suficiente la prețurile astea!

Link campanie:

https://www.librarie.net/c/4637/bursa-c%C4%83r%C8%9Bilor-ieftine-edi%C8%9Bia-sub-15

Spor la conversii!

Echipa LIBRARIE.net",,https://www.librarie.net/c/4637/bursa-c%C4%83r%C8%9Bilor-ieftine-edi%C8%9Bia-sub-15,
librarie.net,Târgul de Primăvară 2026 (15 mai 2026 - 31 mai 2026),2026-05-15 21:00:00 UTC,2026-05-30 21:00:00 UTC,-,"Primăvara se încheie cu noutăți în bibliotecă!

Profită de Târgul de Primăvară 2026 până la sfârșitul lunii! 

Ocazia perfectă pentru clienți să iși  aleagă lecturile preferate  înainte de vară la prețuri de sărbătoare.

📅 Valabil până pe 31 mai.
✨ Peste 10.000 de cărți așteaptă la un click distanță.

https://www.librarie.net/c/4621/t%C3%A2rgul-prim%C4%83var%C4%83-2026

Spor la conversii!

Echipa LIBRARIE.net",,https://www.librarie.net/c/4621/t%C3%A2rgul-prim%C4%83var%C4%83-2026,
kamin.ro,Gratar WEBER Gratuit,2026-05-15 21:00:00 UTC,2026-05-30 21:00:00 UTC,"In perioada 16.05-31.05, orice comanda cu valoare minima de 3700 lei si o sursa de caldura incluse, primeste gratuit un Gratar Weber Compact Kettle pe carbuni. ",Comanda o sursa de caldura in valoare de 3700 lei si primesti cadou un gratar Weber,,https://www.kamin.ro/blog/kamin-ofera-cadou-un-gratar-weber-la-comanda-unei-surse-de-caldura-minim-3700-lei,
atelier49.ro,Reduceri de până la 52% la produse artizanale românești,2026-05-14 21:00:00 UTC,2026-05-30 21:00:00 UTC,Urmeaza sa implementam comisioane de 12% pentru categoria cadouri. Produsele din aceasta categorie pot fi personalizate si se vand foarte bine. Piesele de mobilier sunt o alta optiune pe care va rugam sa o luati in calcul datorita AOV-ului ridicat si potentialului de castig. ,"Beneficiază de reduceri de până la 52% la cadouri, decorațiuni și produse artizanale realizate din materiale naturale (lemn, sticlă, metal, ceramică, lână) în România, perfecte pentru aniversări și zile de naștere, locuință, pensiuni, decor rustic și tradițional, sărbători etc.

Discounturile sunt aplicate automat pe site. Unele produse din categoria cadouri pot fi personalizate. Toate comenzile beneficiaza de o perioada de retur de 30 de zile.  ","",https://www.atelier49.ro/,Special Product Feed
carturesti.ro ,Tombolă Dixit,2026-05-14 21:00:00 UTC,2026-05-31 21:00:00 UTC,"Jocurile din seria Dixit sunt mai mult decât simple board games; sunt ferestre deschise către o lume unde regulile logicii lasă loc intuiției și visării. Dixit a devenit un simbol al reconectării, oferind un spațiu sigur în care limbajul vizual deblochează amintiri și metafore surprinzătoare, indiferent de vârstă.

Te invităm să duci experiența la înălțime: cumpără orice joc de bază sau extensie Dixit în stoc pe carturesti.ro, în perioada 15 mai – 1 iunie, și poți câștiga, prin tragere la sorți, un zbor cu balonul pentru două persoane sau extensii pentru a-ți completa colecția.

Pentru a intra în tragerea la sorți, bifează căsuța „Vreau să mă înscriu la tombola Dixit” din pagina de checkout. Promoția este valabilă exclusiv online, în limita stocului disponibil.","Jocurile din seria Dixit sunt mai mult decât simple board games; sunt ferestre deschise către o lume unde regulile logicii lasă loc intuiției și visării. Dixit a devenit un simbol al reconectării, oferind un spațiu sigur în care limbajul vizual deblochează amintiri și metafore surprinzătoare, indiferent de vârstă.

Te invităm să duci experiența la înălțime: cumpără orice joc de bază sau extensie Dixit în stoc pe carturesti.ro, în perioada 15 mai – 1 iunie, și poți câștiga, prin tragere la sorți, un zbor cu balonul pentru două persoane sau extensii pentru a-ți completa colecția.

Pentru a intra în tragerea la sorți, bifează căsuța „Vreau să mă înscriu la tombola Dixit” din pagina de checkout. Promoția este valabilă exclusiv online, în limita stocului disponibil.",,https://carturesti.ro/offer/tombola-dixit-6588,Special Banners
